runs,cost
1458,1.4031001
1459,1.4142126
1460,1.4140036
1461,1.4028077
1462,1.4141963
1463,1.4137826
1464,1.4142135
1465,1.41412
1466,1.4141997
1467,0.0
1468,1.4141462
1469,1.4137918
1470,1.4142106
1471,1.4106711
1472,1.413672
1473,1.4134362
1474,6.4802084e-9
1475,1.4137902
1476,1.4142135
1477,1.4136219
1478,1.414039
1479,1.4142113
1480,1.4142135
1481,1.4141037
1482,1.4142127
1483,1.4142134
1484,1.4135236
1485,1.4142109
1486,1.4137758
1487,1.4142135
1488,1.414207
1489,1.4141998
1490,1.414211
1491,1.4140252
1492,1.414212
1493,1.4142085
1494,1.4142135
1495,1.4140792
1496,1.4142103
1497,1.4142114
1498,1.405736
1499,1.4141942
1500,1.4142135
1501,1.4142135
1502,1.4141421
1503,1.1230176e-22
1504,1.4142135
1505,1.4142135
1506,1.4142108
1507,1.414212
1508,1.414199
1509,1.4142113
1510,1.4142126
1511,1.4142135
1512,7.199913e-12
1513,1.413071
1514,1.4141164
1515,1.4141842
1516,1.414197
1517,1.3963221
1518,1.4141283
1519,7.87227e-9
1520,1.4142126
1521,1.414212
1522,1.4142054
1523,1.4142134
1524,1.4141835
1525,1.413442
1526,1.41418
1527,1.4142135
1528,1.4134835
1529,1.3993714
1530,1.4142135
1531,1.4132845
1532,1.4142065
1533,1.4141719
1534,1.4142065
1535,1.4142135
1536,1.4140583
1537,1.4142048
1538,1.413898
1539,6.791136e-17
1540,1.4141812
1541,1.4141214
1542,1.3960493
1543,1.414159
1544,1.02175745e-16
1545,1.4142119
1546,1.4141942
1547,1.4142107
1548,1.4141867
1549,1.414212
1550,1.4141768
1551,1.4142126
1552,1.4142115
1553,1.4140254
1554,1.4142095
1555,1.4141246
1556,1.4141788
1557,1.4140815
1558,1.5675959e-12
1559,1.4142063
1560,1.4142054
1561,1.4137965
1562,1.4142135
1563,1.4141899
1564,1.4136195
1565,1.4141102
1566,1.4142126
1567,1.4142135
1568,1.4142082
1569,1.4141928
1570,1.4141726
1571,1.4141476
1572,1.4142135
1573,1.4141984
1574,1.4136877
1575,1.4142135
1576,1.4141867
1577,1.4139152
1578,1.4141898
1579,1.4139252
1580,1.414196
1581,1.4142135
1582,1.4107381
1583,1.7423923e-11
1584,1.4142071
1585,1.4140053
1586,1.4142083
1587,1.4141816
1588,1.4142051
1589,1.4142094
1590,1.4142135
1591,1.4140004
1592,1.4141881
1593,1.4142134
1594,1.4100492
1595,1.4142135
1596,1.408141
1597,1.4141908
1598,1.4142083
1599,1.4142025
1600,3.2796646e-15
1601,1.4142119
1602,1.4142091
1603,1.4128898
1604,1.3896567
1605,1.414193
1606,1.4141763
1607,1.4141957
1608,1.4142135
1609,1.4142135
1610,1.4141741
1611,1.4142135
1612,1.4142003
1613,1.4141518
1614,1.4117453
1615,1.9810362e-20
1616,1.4142134
1617,1.4142103
1618,1.4142135
1619,1.4142127
1620,1.4142091
1621,1.4092835
1622,1.4142011
1623,8.5353564e-12
1624,1.414212
1625,1.413843
1626,1.4123966
1627,1.4129735
1628,1.4142134
1629,1.4133722
1630,1.4142103
1631,3.4162178e-12
1632,1.413756
1633,1.4140658
